year,month,airline
1994,September,Air Mauritanie
1994,September,USAir
1994,September,Douglas
1994,October,Alas Chiricanas
1994,October,Korean Air
1994,November,Royal Air Maroc
1994,November,USAir
1994,December,Boeing
1994,December,Boeing
1994,December,Oriental Airlines
1994,December,Cheremshanka Airlines
1994,December,Iran Aseman Airlines
1994,December,American Eagle
1995,January,Intercontinental de Aviación
1995,January,Douglas
1995,January,Bristow Helicopters
1995,February,TransAsia Airways
1995,February,Antonov Design Bureau
1995,March,Air Transport International
1995,May,Douglas
1995,June,TAROM
1995,June,Knight Air
1995,June,Ansett New Zealand
1995,August,All Nippon Airways
1995,August,Boeing
1995,August,Harka Air Services
1995,September,Airstan
1995,September,Airstan
1995,September,Aviateca
1995,October,Boeing
1995,November,Atlantic Southeast Airlines
1995,November,Malaysia Airlines
1995,December,Kish Air
1995,December,Boeing
1995,December,MIAT
1995,December,United Airlines
1995,December,Boeing
1995,December,American Airlines
1995,December,Douglas
1995,December,Nigeria Airways
1996,January,Moscow Airways
1996,February,LAC Colombia
1996,February,Douglas
1996,February,Birgenair
1996,May,Boeing
1996,June,Faucett
1996,June,Boeing
1996,July,ValuJet
1996,July,Douglas
1996,August,Eastwind Airlines
1996,August,Boeing
1996,September,Garuda Indonesia
1996,September,Douglas
1996,September,Delta Air Lines
1996,October,Douglas
1996,October,TWA
1996,October,Boeing
1996,October,Spair Airlines
1996,November,Vnukovo Airlines
1996,November,Hemus Air
1996,November,FedEx
1996,November,Douglas
1996,December,Douglas
1996,December,Dutch Dakota Association
1997,January,Comair
1997,March,Stavropolskaya Aktsionernaya Avia
1997,April,Merpati Nusantara
1997,May,China Southern Airlines
1997,July,Boeing
1997,July,Sempati Air
1997,July,Air Littoral
1997,August,FedEx
1997,August,Douglas
1997,August,Korean Air
1997,September,Boeing
1997,September,Fine Air
1997,September,Douglas
1997,September,Formosa Airlines
1997,October,Vietnam Airlines
1997,November,Royal Brunei Airlines
1997,December,Helikopter Service
1997,December,Garuda Indonesia
1997,December,Austral Líneas Aéreas
1997,December,Douglas
1997,December,Virgin Atlantic
1998,February,Cebu Pacific
1998,February,Douglas
1998,March,China Airlines
1998,March,Formosa Airlines
1998,March,Ariana Afghan Airlines
1998,April,Boeing
1998,May,Philippine Airlines
1998,May,Air France
1998,May,Boeing
1998,June,TAME
1998,July,Occidental Petroleum
1998,July,Boeing
1998,August,Boeing
1998,August,Pakistan International Airlines
1998,August,MIAT
