,year,month,airline
707,1977,March,Linjeflyg
708,1977,April,Aeroflot
709,1977,April,Boeing
710,1977,May,KLM
711,1977,May,Pan Am
712,1977,May,Southern Airways
713,1977,July,Douglas
714,1977,September,Delta Air Lines
715,1977,September,Lockheed
716,1977,September,Aeroflot
717,1977,October,Dan-Air
718,1977,October,Boeing
719,1977,November,Aeroflot
720,1977,December,Aeroflot
721,1977,December,Malév
722,1977,December,Japan Airlines
723,1977,December,Douglas
724,1977,December,Japan Airlines
725,1977,December,Douglas
726,1978,January,Air India
727,1978,February,Boeing
728,1978,March,Pacific Western Airlines
729,1978,March,Boeing
730,1978,March,Continental Airlines
731,1978,March,Douglas
732,1978,April,Línea Aeropostal Venezolana
733,1978,May,Hawker Siddeley
734,1978,May,China Airlines
735,1978,June,Boeing
736,1978,June,Balkan Bulgarian
737,1978,August,Korean Air
738,1978,August,Boeing
739,1978,September,National Airlines
740,1978,September,Boeing
741,1978,September,Aeroflot
742,1978,September,Air Canada
743,1978,September,Douglas
744,1978,October,Helikopter Service
745,1978,November,Olympic Airways
746,1978,December,Boeing
747,1978,December,LOT
748,1978,December,Air Rhodesia
749,1979,January,Varig
750,1979,February,Boeing
751,1979,February,Air Rhodesia
752,1979,March,Air New Zealand
753,1979,March,Boeing
754,1979,March,Aeroflot
755,1979,March,Interflug
756,1979,April,Quebecair
757,1979,April,TWA
758,1979,May,Boeing
759,1979,May,SAETA
760,1979,June,American Airlines
761,1979,June,Douglas
762,1979,July,Downeast
763,1979,July,Air New England
764,1979,July,American Airlines
765,1979,August,Boeing
766,1979,August,Boeing
767,1979,September,Garuda Indonesia
768,1979,October,Lufthansa
769,1979,October,Boeing
770,1979,November,Dan-Air
771,1979,November,Hawker Siddeley
772,1979,November,Dniprodzerzhynsk mid
773,1979,November,Aeroflot
774,1979,December,Aeroflot
775,1980,January,Iran Air
776,1980,February,Boeing
777,1980,February,Advance Airlines
778,1980,March,China Airlines
779,1980,April,Boeing
780,1980,April,LOT
781,1980,April,Transbrasil
782,1980,June,Boeing
783,1980,June,Dan-Air
784,1980,July,Boeing
785,1980,August,Thai Airways
786,1980,September,Hawker Siddeley
787,1980,November,Air Wisconsin
788,1980,November,Itavia
789,1980,December,Douglas
790,1981,March,Pakistan International Airlines
791,1981,March,Boeing
792,1981,May,Garuda Indonesia
793,1981,May,Douglas
794,1981,June,Aer Lingus
795,1981,June,Boeing
796,1981,July,Austral Líneas Aéreas
797,1981,July,Aeroflot
798,1981,July,Dan-Air
799,1981,August,Hawker Siddeley
800,1981,August,Soviet Air
801,1981,August,Somali Airlines
802,1981,August,Aeromexico
803,1981,September,Bristow Helicopters
804,1981,September,Far Eastern Air Transport
805,1981,September,Boeing
806,1981,October,Aeroflot
807,1981,November,Aeropesca Colombia
808,1981,November,Aeroflot
809,1981,December,Eastern Air Lines
810,1982,January,Air Florida
811,1982,January,Boeing
812,1982,February,World Airways
813,1982,February,Douglas
814,1982,March,Japan Airlines
815,1982,March,Douglas
816,1982,March,Pilgrim Airlines
817,1982,April,Widerøe
818,1982,May,Aeropesca Colombia
819,1982,June,CAAC
820,1982,June,Hawker Siddeley
821,1982,June,VASP
822,1982,June,Boeing
823,1982,June,VASP
824,1982,July,Boeing
825,1982,July,TABA
826,1982,August,Air India
827,1982,August,Boeing
828,1982,August,British Airways
829,1982,September,Boeing
830,1982,September,Aeroflot
831,1982,September,Aeroflot
832,1982,December,Pan Am
833,1982,December,Boeing
834,1983,January,United Airlines
835,1983,January,Douglas
836,1983,March,Turkish Airlines
837,1983,May,Boeing
838,1983,June,Avensa
839,1983,June,Douglas
840,1983,July,Eastern Air Lines
841,1983,July,Lockheed
842,1983,July,Air Canada
843,1983,July,Douglas
844,1983,August,Reeve Aleutian Airways
845,1983,September,Lockheed
846,1983,September,Chosonminhang
847,1983,September,TAME
848,1983,October,Boeing
849,1983,November,British Airways
850,1983,November,Air Canada
851,1983,November,Boeing
852,1983,November,Aeroflot
853,1983,December,Korean Air
854,1983,December,Boeing
855,1983,December,CAAC
856,1983,December,Hawker Siddeley
857,1983,December,Gulf Air
858,1983,December,Boeing
859,1984,January,Balkan Bulgarian
860,1984,February,Serviços Aéreos Cruzeiro do Sul
861,1984,February,Scandinavian Airlines System
862,1984,March,Douglas
863,1984,June,Pacific Western Airlines
864,1984,July,Boeing
865,1984,August,Transportes Aéreos Regionais
866,1984,August,Indian Airlines
867,1984,August,Vieques Air Link
868,1984,August,Biman Bangladesh Airlines
869,1984,September,Indian Airlines
870,1984,October,Indian Airlines
871,1984,October,Boeing
872,1984,December,Emirates
873,1984,December,Cameroon Airlines
874,1985,January,Eastern Air Lines
875,1985,January,Boeing
876,1985,January,CAAC
877,1985,February,Galaxy Airlines
878,1985,February,Lockheed
879,1985,February,Aeroflot
880,1985,May,China Airlines
881,1985,June,Boeing
882,1985,June,Iberia
883,1985,June,Boeing
884,1985,July,Aeroflot
885,1985,August,Trans World Airlines
886,1985,August,Boeing
887,1985,August,Braathens SAFE
888,1985,August,Boeing
889,1985,September,Air India
890,1985,September,Boeing
891,1985,September,Aeroflot
892,1985,November,Delta Air Lines
893,1985,December,Lockheed
894,1985,December,Japan Air Lines
895,1986,January,Aerovías Guatemala
896,1986,January,VASP
897,1986,February,China Airlines
898,1986,March,Mexicana de Aviación
